,area_type,code,area_name,lon,lat,area_store,area_sim_store,tot_customer,avg_take
781,전통시장,1001347,석관황금시장,127.0620188,37.60976015,1.0,1.0,271308.0,45304590.0
782,전통시장,1001352,번동북부골목시장,127.0300572,37.63585621,0.857142857,0.857142857,233224.0,45304590.0
783,전통시장,1001353,수유전통시장,127.0227936,37.6311637,1.714285714,2.142857143,207094.0,25947459.0
784,전통시장,1001342,밤나무골시장,127.0355392,37.60879803,1.0,1.0,49958.0,45304590.0
785,전통시장,1001354,우이시장,127.0198635,37.6464179,2.285714286,2.285714286,254483.0,45304590.0
786,전통시장,1001355,강북종합시장,127.0256976,37.64232631,2.428571429,2.428571429,158350.0,14011626.0
787,전통시장,1001346,석관시장,127.0604099,37.60897713,1.0,1.0,20893.0,45304590.0
788,전통시장,1001356,수유중앙시장,127.0212441,37.64033602,3.0,3.0,13490.0,45304590.0
789,발달상권,1001193,장한평역_1,127.0666085,37.56216721,2.142857143,5.142857143,243607.0,214351956.0
790,발달상권,1001194,서울 강서구 발산역,126.8400205,37.55967196,6.142857143,12.0,281672.0,309523930.0
791,발달상권,1001195,왕십리역_2,127.0345213,37.56277561,1.0,4.571428571,239672.0,358713905.0
792,발달상권,1001196,시청역_1,126.9735718,37.56160641,29.57142857,49.57142857,435097.0,5403660156.0
793,발달상권,1001247,미아사거리_2,127.0284604,37.60785391,2.0,4.0,66063.0,177964279.0
794,발달상권,1001248,서울 은평구 불광역_1,126.9293514,37.60949402,11.71428571,22.14285714,488549.0,705035635.0
795,발달상권,1001218,동대문시장_2,127.0029318,37.57033998,5.428571429,6.714285714,324298.0,97348952.0
796,발달상권,1001219,서울 종로구 동대문역_1,127.0103803,37.57199739,0.571428571,2.571428571,115544.0,284056654.0
797,발달상권,1001249,서울 은평구 불광역_2,126.9307889,37.61037784,2.714285714,3.714285714,471723.0,91753422.0
798,발달상권,1001250,서울 은평구 불광역_3,126.9285119,37.61102519,1.285714286,2.285714286,438668.0,284964363.0
799,발달상권,1001121,영등포역_3,126.9033177,37.51912369,4.714285714,4.714285714,461604.0,118981153.0
800,발달상권,1001122,여의도 시범아파트앞,126.9386446,37.51902118,10.71428571,16.42857143,141582.0,449628538.0
801,발달상권,1001081,서울 강남구 역삼역_2,127.0391646,37.50316394,24.14285714,38.14285714,702266.0,3286608910.0
802,발달상권,1001161,건대입구역,127.0716112,37.53849506,1.857142857,13.0,85978.0,3225062990.0
803,발달상권,1001162,서울 광진구 건대입구역_1,127.06789,37.54004698,19.57142857,26.28571429,457730.0,1210390820.0
804,발달상권,1001163,서울 강동구 천호역_2,127.1268515,37.53942172,23.0,48.28571429,1156191.0,1989426954.0
805,발달상권,1001164,서울 마포구 마포역_1,126.9474532,37.53985658,11.28571429,18.85714286,771023.0,1646606075.0
806,골목상권,1000128,광나루로24길,127.0759292,37.54545709,14.66666667,22.66666667,279103.0,432824133.0
807,골목상권,1000129,광나루로36길,127.0862134,37.54383724,7.333333333,8.333333333,209907.0,96554489.0
808,골목상권,1000130,광나루로37길,127.0878903,37.54567404,2.0,2.0,238615.0,10632115.0
809,발달상권,1001160,서울 광진구 구의역,127.0855165,37.53799026,9.428571429,14.57142857,472289.0,454407344.0
810,골목상권,1000131,광나루로40길,127.0891319,37.54302417,2.166666667,3.166666667,651870.0,107157079.0
811,골목상권,1000048,퇴계로8길,126.9789947,37.55665201,6.0,6.0,166700.0,69192857.0
812,골목상권,1000049,퇴계로90길,127.0219807,37.56368862,5.166666667,6.166666667,491934.0,62790174.0
813,골목상권,1000050,녹사평대로11길,126.99319,37.52177597,1.0,1.0,23089.0,22824617.0
814,골목상권,1000051,녹사평대로26길,126.992465,37.53175903,11.66666667,11.66666667,132480.0,375199481.0
815,전통시장,1001362,백운시장,127.0153103,37.6557888,1.0,1.0,40596.0,45304590.0
816,전통시장,1001363,쌍문역골목시장,127.0325665,37.64842427,3.0,3.0,81468.0,45304590.0
817,전통시장,1001364,방학동도깨비시장,127.0354301,37.66531686,2.714285714,4.857142857,163793.0,116693381.0
818,전통시장,1001365,공릉동도깨비시장,127.0759054,37.62232983,7.285714286,7.285714286,200080.0,5320228.0
819,전통시장,1001366,상계시장,127.0778528,37.66494511,3.0,3.0,20145.0,45304590.0
820,전통시장,1001367,상계중앙시장,127.0699936,37.6597784,3.0,3.285714286,497442.0,19549691.0
821,전통시장,1001399,경창시장,126.8424934,37.52475257,1.0,1.0,73193.0,20344321.0
822,전통시장,1001400,신월3동골목시장,126.8265666,37.53389343,0.0,0.0,76553.0,45304590.0
823,전통시장,1001401,신곡종합시장,126.8451649,37.51842206,3.0,3.0,55065.0,45304590.0
824,전통시장,1001402,신월6동골목시장,126.8425867,37.51804023,1.714285714,2.857142857,58370.0,37406190.0
825,전통시장,1001481,명일골목시장,127.1452911,37.54922136,0.142857143,0.142857143,143566.0,2352747.0
826,발달상권,1001158,당산역_2,126.9008414,37.53545679,7.428571429,11.42857143,319246.0,391862029.0
827,발달상권,1001159,서울 강동구 천호역,127.12298,37.53831759,3.714285714,8.714285714,227002.0,592293136.0
828,발달상권,1001209,서울시청,126.979467,37.56783346,15.85714286,41.0,491585.0,2766533877.0
829,발달상권,1001210,시청역_2,126.9713977,37.56439899,20.42857143,38.85714286,277250.0,3389250424.0
830,발달상권,1001212,서대문구 서대문역_1,126.965997,37.56800154,6.714285714,9.714285714,143667.0,27358705.0
831,발달상권,1001213,종각역 젊음의 거리,126.9854885,37.56928496,24.28571429,42.28571429,1301652.0,2803574383.0
832,발달상권,1001214,종각역,126.9811304,37.56959068,1.428571429,5.428571429,85100.0,453299459.0
833,발달상권,1001215,서울 종로구 광화문역_1,126.9748483,37.56912099,9.571428571,21.42857143,412098.0,2411114423.0
834,발달상권,1001216,서울 종로구 종로3가역_1,126.989971,37.56924939,20.14285714,34.71428571,444562.0,1187152756.0
835,발달상권,1001211,동대문시장_1,127.006882,37.56730346,5.714285714,12.42857143,320657.0,902465239.0
836,골목상권,1000194,이문로42길,127.0646272,37.60073985,1.857142857,1.857142857,398883.0,45304590.0
837,골목상권,1000256,용마산로100길,127.0994243,37.59063357,3.0,4.0,354183.0,18344059.0
838,골목상권,1000257,용마산로112길,127.1044975,37.59919762,6.571428571,8.571428571,483069.0,133110490.0
839,골목상권,1000258,용마산로118길,127.1044321,37.60101767,6.285714286,7.142857143,353687.0,76476739.0
840,골목상권,1000228,동일로100길,127.0831529,37.58995239,4.428571429,4.428571429,478022.0,3297789.0
841,골목상권,1000306,창경궁로43길,127.0036458,37.58883737,10.28571429,13.28571429,243096.0,256866409.0
842,골목상권,1000460,대흥로28길,126.9470125,37.5551193,3.142857143,3.142857143,360588.0,109611989.0
843,골목상권,1000010,성균관로5길,126.9968526,37.58418826,11.16666667,13.16666667,253226.0,193780365.0
844,골목상권,1000011,숭인동길,127.0221997,37.57689717,2.166666667,3.833333333,306121.0,64398935.0
845,골목상권,1000012,옥인길,126.9664781,37.58069669,8.666666667,8.666666667,258613.0,119548132.0
846,골목상권,1000013,율곡로10길,126.9911248,37.576061,10.5,11.5,93516.0,315450018.0
847,골목상권,1000014,율곡로16길,127.0040413,37.57502512,0.0,0.0,121647.0,45304590.0
848,골목상권,1000015,이화장길,127.0048453,37.57785421,12.0,15.0,260079.0,725338591.0
849,골목상권,1000044,퇴계로12길,126.9820957,37.55650836,7.0,7.0,100103.0,267816925.0
850,골목상권,1000045,퇴계로18길,126.9849137,37.55685114,10.66666667,10.66666667,82787.0,168370713.0
851,골목상권,1000046,퇴계로46길,127.0008941,37.56122193,4.333333333,4.333333333,304388.0,87674154.0
852,골목상권,1000145,뚝섬로24길,127.0628279,37.53492309,4.571428571,4.571428571,317669.0,45304590.0
853,골목상권,1000538,오목로3길,126.8381738,37.52389979,0.0,0.0,403124.0,45304590.0
854,골목상권,1000539,오목로5길,126.8406283,37.52405629,2.142857143,4.142857143,301560.0,44345363.0
855,골목상권,1000540,은행정로5길,126.8581569,37.52119544,5.428571429,6.857142857,147642.0,17149027.0
856,골목상권,1000532,신목로5길,126.8725958,37.51848186,4.571428571,5.0,328848.0,66365680.0
857,골목상권,1000760,상도로61길,126.9570178,37.4944679,9.857142857,21.71428571,405493.0,986933424.0
858,골목상권,1000761,상도로62길,126.9526065,37.49621416,6.0,7.714285714,801218.0,151853746.0
859,골목상권,1000411,연서로5길,126.9144191,37.60421334,6.571428571,6.571428571,334009.0,51340739.0
860,골목상권,1000412,은평로10길,126.9242422,37.59975115,4.714285714,5.857142857,489110.0,45304590.0
861,골목상권,1000413,은평로13길,126.9243753,37.6024542,5.857142857,5.857142857,312982.0,41590394.0
862,골목상권,1000759,상도로47길,126.951607,37.50307943,9.714285714,11.71428571,388602.0,229099257.0
863,골목상권,1000359,도봉로109길,127.0314441,37.6468929,4.142857143,5.142857143,413052.0,25860588.0
864,골목상권,1000360,도봉로114길,127.0363168,37.64759427,19.42857143,23.14285714,1189174.0,889818267.0
865,골목상권,1000874,서초대로8길,126.989044,37.48392441,0.0,0.0,204906.0,45304590.0
866,골목상권,1000875,신반포로45길,127.0165817,37.51231446,6.0,7.714285714,373993.0,128537310.0
867,골목상권,1000876,언남길,127.0426992,37.47402412,9.714285714,9.714285714,236466.0,96712638.0
868,골목상권,1000877,주흥15길,127.0185149,37.50881828,7.285714286,8.285714286,396063.0,57578808.0
869,골목상권,1000878,주흥길,127.0197697,37.506061,4.857142857,4.857142857,542808.0,46875904.0
870,골목상권,1000631,구로동로7길,126.8832788,37.4864081,3.0,3.0,319767.0,45304590.0
871,골목상권,1000663,독산로64길,126.9044605,37.46555074,1.0,2.0,242801.0,68695438.0
872,골목상권,1000664,독산로70길,126.9032148,37.46736977,2.857142857,4.857142857,422171.0,78298914.0
873,골목상권,1000535,신월로20길,126.8451532,37.51860224,2.428571429,3.285714286,328881.0,45304590.0
874,골목상권,1000536,오목로23길,126.8514501,37.52623281,1.714285714,1.714285714,478713.0,7379808.0
875,골목상권,1000537,오목로30길,126.85373,37.5231272,2.285714286,2.285714286,398419.0,45304590.0
876,골목상권,1000348,한천로130길,127.0320868,37.63949565,2.0,2.0,503764.0,14952968.0
877,골목상권,1000349,한천로132길,127.0296966,37.64073964,6.428571429,6.428571429,619335.0,7655632.0
878,골목상권,1000317,노해로33길,127.0221185,37.6467869,2.0,2.0,288024.0,45304590.0
879,골목상권,1000338,솔샘로65길,127.0267096,37.6206844,5.0,5.0,654774.0,40532419.0
880,골목상권,1000339,수유로12길,127.02131,37.63287585,5.428571429,6.428571429,586329.0,10032129.0
881,골목상권,1000340,오패산로30길,127.0347717,37.61464568,2.571428571,3.571428571,180743.0,22032530.0
882,골목상권,1000330,삼양로27길,127.0181344,37.61887504,2.857142857,4.857142857,281873.0,198003588.0
883,골목상권,1000331,삼양로41길,127.017818,37.6217132,3.0,5.0,709386.0,44993017.0
884,골목상권,1000756,사당로8길,126.9677655,37.48289337,6.0,7.0,333024.0,72267823.0
885,골목상권,1000636,구로중앙로42길,126.8779945,37.50969377,1.714285714,1.714285714,110359.0,2942203.0
886,골목상권,1000637,구로중앙로7길,126.8909613,37.49063216,0.0,1.857142857,184202.0,291091168.0
887,골목상권,1000638,구로중앙로8길,126.8926996,37.49277815,1.0,1.0,499198.0,45304590.0
888,골목상권,1000639,남부순환로97길,126.8580949,37.49415623,1.714285714,6.428571429,129271.0,212111910.0
889,골목상권,1000738,대방동2길,126.9278025,37.50109407,3.0,4.428571429,209282.0,118082227.0
890,골목상권,1000754,사당로2차길,126.9667011,37.48660523,5.285714286,5.285714286,242076.0,16662934.0
891,골목상권,1000755,사당로30길,126.9807908,37.48153568,6.285714286,8.285714286,357223.0,103654104.0
892,골목상권,1000632,구로동로8길,126.8867028,37.48767285,2.142857143,2.142857143,877642.0,5753807.0
893,골목상권,1000733,국사봉1길,126.9320119,37.4984386,4.714285714,6.714285714,353869.0,129874161.0
894,골목상권,1000342,오패산로67길,127.0257972,37.6355689,2.571428571,3.428571429,629979.0,71426958.0
895,골목상권,1000343,인수봉로56길,127.014989,37.63612037,2.0,2.0,268703.0,45304590.0
896,골목상권,1000344,인수봉로72길,127.0128716,37.64297711,3.0,3.0,423468.0,45304590.0
897,골목상권,1000345,인수봉로79길,127.0086566,37.64350908,1.0,2.0,192061.0,16902306.0
898,골목상권,1000350,한천로139가길,127.0236916,37.6408401,4.285714286,5.0,387517.0,45304590.0
899,골목상권,1000351,한천로140길,127.0284622,37.64219052,3.857142857,3.857142857,444351.0,75582615.0
900,골목상권,1000318,덕릉로40길,127.0317333,37.63423399,4.0,4.0,195202.0,62456884.0
901,골목상권,1000319,덕릉로41길,127.0291741,37.63742414,6.0,6.0,416356.0,30431570.0
902,골목상권,1000320,도봉로13길,127.0267869,37.6152334,0.714285714,0.714285714,508175.0,45304590.0
