,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,lat,long,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
56,1134,세검정.상명대,74.0625,146.3819444,171.5386905,93.93452381,235.8125,51.71666667,37.60066502,126.9587715,110.2222222,132.7366071,143.7645833,253.9868056,386.7234127,0.656766043,0,0,0
57,1135,상명대입구.석파랑,182.1564626,62.3877551,70.62973761,52.66763848,64.87346939,40.64489796,37.599605,126.958688,122.2721088,61.64868805,52.75918367,175.0312925,236.6799806,0.739527239,1,0,1
58,1136,하림각,233.0336134,70.92156863,147.2460984,61.81632653,95.22016807,46.62857143,37.598269,126.9618276,151.977591,104.5312125,70.92436975,222.9019608,327.4331733,0.680755583,0,0,0
59,1137,자하문터널입구.석파정,207.1503268,58.7745098,167.8291317,73.5210084,115.5098039,48.95294118,37.59558027,126.9637112,132.9624183,120.67507,82.23137255,215.1937908,335.8688609,0.640707776,0,0,0
60,1138,부암동주민센터.무계원,228.9513889,121.0555556,310.5714286,178.8184524,251.9416667,100.8208333,37.592874,126.964027,175.0034722,244.6949405,176.38125,351.3847222,596.0796627,0.589492889,0,0,0
61,1139,부암동주민센터.무계원,60.74305556,164.7638889,122.2440476,270.2172619,135.3333333,254.0833333,37.59275754,126.965131,112.7534722,196.2306548,194.7083333,307.4618056,503.6924603,0.610415739,0,0,0
62,1140,자하문터널입구.석파정,47.95145631,81.46278317,79.51595007,159.7836338,81.79223301,206.6834951,37.59559179,126.9638097,64.70711974,119.649792,144.2378641,208.9449838,328.5947758,0.635874333,0,0,0
63,1141,하림각,64.06930693,81.52475248,91.78217822,116.6831683,105.3267327,203.4831683,37.59814363,126.9622117,72.7970297,104.2326733,154.4049505,227.2019802,331.4346535,0.685510636,0,0,1
64,1142,상명대입구.세검정교회,41.02604167,77.97916667,67.36383929,120.0178571,89.94375,191.85625,37.59955974,126.9592186,59.50260417,93.69084821,140.9,200.4026042,294.0934524,0.681424909,0,0,0
65,1143,세검정.상명대,46.40740741,150.3227513,116.0272109,125.6031746,148.3809524,152.5492063,37.60061499,126.958889,98.36507937,120.8151927,150.4650794,248.8301587,369.6453515,0.673159172,0,0,1
66,1144,세검정초등학교,187.8928571,167.625,192.2997449,211.4553571,233.2232143,357.2767857,37.60229124,126.9613311,177.7589286,201.877551,295.25,473.0089286,674.8864796,0.70087184,0,0,1
67,1146,국민은행세검정지점,161.109375,122.2083333,120.2834821,198.25,121.865625,278.23125,37.60470411,126.9611311,141.6588542,159.2667411,200.0484375,341.7072917,500.9740327,0.682085835,0,0,0
68,1148,승가사입구,18.67375887,2.304964539,62.44984802,2.531914894,27.21702128,1.812765957,37.61158733,126.9563453,10.4893617,32.49088146,14.51489362,25.00425532,57.49513678,0.434893397,0,0,0
69,1149,구기동현대빌라,106.9375,7.715277778,171.389881,11.05357143,96.21666667,10.0625,37.61003593,126.9564726,57.32638889,91.22172619,53.13958333,110.4659722,201.6876984,0.547708031,0,0,0
70,1150,구기터널.삼성출판박물관,212.0902778,83.59722222,357.5922619,99.29464286,269.3041667,80.5375,37.60854039,126.956184,147.84375,228.4434524,174.9208333,322.7645833,551.2080357,0.585558559,0,0,0
71,1151,구기터널.삼성출판박물관,173.3645833,310.4791667,258.1205357,234.3928571,188.30625,279.89375,37.6083598,126.9564398,241.921875,246.2566964,234.1,476.021875,722.2785714,0.659055791,0,1,1
72,1152,구기동,395.526749,103.7736626,336.6014109,114.6631393,280.6395062,147.8592593,37.60704451,126.9585968,249.6502058,225.6322751,214.2493827,463.8995885,689.5318636,0.672774694,0,1,0
73,1153,구기동,173.7791667,110.8,161.5446429,183.5892857,154.6775,245.2225,37.60695423,126.9590556,142.2895833,172.5669643,199.95,342.2395833,514.8065476,0.6647926,0,0,1
74,1154,승가사입구,8.574468085,117.3687943,4.948328267,51.7325228,2.49787234,34.2,37.61143992,126.9564593,62.97163121,28.34042553,18.34893617,81.32056738,109.6609929,0.741563296,1,0,0
75,1155,갑을씨티텔앞,167.9,84.77916667,81.82857143,55.75,66.14,64.4575,37.60432366,126.9635571,126.3395833,68.78928571,65.29875,191.6383333,260.427619,0.735860252,1,0,1
76,1156,평창파출소,441.2541667,132.375,406.1,84.6125,346.85,95.7875,37.6052849,126.9660716,286.8145833,245.35625,221.31875,508.1333333,753.4895833,0.674373402,0,1,0
77,1157,평창동주민센터,265.7254902,134.5980392,297.2128852,77.3907563,240.672549,71.70980392,37.60660852,126.9695658,200.1617647,187.3018207,156.1911765,356.3529412,543.6547619,0.655476538,0,0,0
78,1158,일성아파트,174.5694444,73.33680556,130.4419643,40.84821429,77.78333333,40.68125,37.60880117,126.9729382,123.953125,85.64508929,59.23229167,183.1854167,268.830506,0.681416032,0,0,0
79,1159,롯데아파트,231.7673611,130.9166667,211.9598214,60.46130952,173.3625,66.425,37.61039233,126.9764904,181.3420139,136.2105655,119.89375,301.2357639,437.4463294,0.688623366,0,0,0
80,1160,롯데아파트,62.6125,145.8416667,72.14107143,144.4107143,87.965,202.0125,37.61009411,126.9760875,104.2270833,108.2758929,144.98875,249.2158333,357.4917262,0.69712336,0,0,0
81,1161,벽산평창힐스아파트,40.71666667,107.8041667,36.87857143,112.4267857,41.7825,174.12,37.60827711,126.9727677,74.26041667,74.65267857,107.95125,182.2116667,256.8643452,0.709369245,0,0,0
82,1162,예능교회,40.05416667,139.7708333,78.68214286,126.1517857,84.855,169.49,37.60662695,126.9700287,89.9125,102.4169643,127.1725,217.085,319.5019643,0.679448092,0,0,0
83,1163,서울예술고등학교.평창동주민센터,69.92083333,309.6833333,88.29821429,263.6285714,109.6175,323.52,37.60587045,126.9675555,189.8020833,175.9633929,216.56875,406.3708333,582.3342262,0.697830928,0,0,0
84,1164,화정박물관,48.14509804,222.7960784,55.54957983,212.5294118,59.71764706,340.3082353,37.60459289,126.964752,135.4705882,134.0394958,200.0129412,335.4835294,469.5230252,0.714519867,0,0,0
85,1165,강북삼성병원,49.8125,369.0625,96.125,145.3660714,95.6625,88.175,37.5680684,126.9687255,209.4375,120.7455357,91.91875,301.35625,422.1017857,0.713942135,0,0,0
86,1167,독립문역.서대문형무소역사관,90.26041667,195.78125,156.6160714,334.0848214,232.4375,498.18125,37.57315143,126.9593699,143.0208333,245.3504464,365.309375,508.3302083,753.6806548,0.674463654,0,1,0
87,1168,서대문.서울시교육청,137.5800525,116.7191601,117.951631,115.4341957,160.5732283,156.0047244,37.5681995,126.964432,127.1496063,116.6929134,158.2889764,285.4385827,402.1314961,0.709814042,0,0,1
88,1169,서대문역사거리.적십자병원,298.3363095,209.0892857,363.807398,173.8112245,334.5892857,224.9392857,37.56778008,126.968441,253.7127976,268.8093112,279.7642857,533.4770833,802.2863946,0.664945943,0,1,0
89,1171,독립문,318.0816327,78.63265306,241.6676385,95.4664723,199.5591837,109.9755102,37.57111989,126.9614825,198.3571429,168.5670554,154.7673469,353.1244898,521.6915452,0.676883674,0,0,0
90,1172,창덕궁.서울돈화문국악당,151.4791667,678.5229167,187.85625,277.1964286,282.675,214.165,37.57742132,126.9886004,415.0010417,232.5263393,248.42,663.4210417,895.947381,0.740468755,1,1,1
91,1173,무교동,98.66666667,613.0625,262.9464286,244.4642857,717.875,123.45,37.56914276,126.9802557,355.8645833,253.7053571,420.6625,776.5270833,1030.23244,0.753739693,1,1,1
92,1174,청계1가.광교,18.60416667,66.27083333,36.99107143,39.98214286,90.075,35.8125,37.56860788,126.9849079,42.4375,38.48660714,62.94375,105.38125,143.8678571,0.732486409,1,0,1
93,1175,청계2가.수표교,15.0625,88.875,27.70535714,51.02678571,38.1,43.225,37.568322,126.990686,51.96875,39.36607143,40.6625,92.63125,131.9973214,0.701766134,0,0,0
94,1176,청계4가.세운교,7.25,74.72916667,27.25,58.55357143,19.65,20.65,37.56885763,126.9964925,40.98958333,42.90178571,20.15,61.13958333,104.041369,0.587646855,0,0,0
95,1177,청계5가.광장시장,35.5,156.6875,120.1339286,194.4285714,98.875,53.8875,37.56937812,126.9998215,96.09375,157.28125,76.38125,172.475,329.75625,0.52303785,0,0,0
96,1198,원남동,266.2594697,695.0530303,212.4285714,220.25,348.0034091,100.9386364,37.57453251,126.9973383,480.65625,216.3392857,224.4710227,705.1272727,921.4665584,0.765222857,1,1,1
97,1199,창덕궁.우리소리박물관,145.2655039,279.4515504,228.5008306,130.8903654,381.2406977,69.2744186,37.57729098,126.987876,212.3585271,179.695598,225.2575581,437.6160853,617.3116833,0.708906209,0,0,0
98,1200,안국역.종로경찰서.인사동,378.8157454,205.7889447,271.2447954,200.7839196,376.5115578,121.560804,37.57586565,126.9841842,292.3023451,236.0143575,249.0361809,541.338526,777.3528835,0.696387107,0,1,1
99,1201,조계사,178.422619,307.1220238,293.7346939,204.375,476.6821429,103.9553571,37.57236082,126.98307,242.7723214,249.0548469,290.31875,533.0910714,782.1459184,0.681574958,0,1,1
100,1202,조계사,128.0659722,738.78125,293.6904762,358.1517857,417.3208333,231.2,37.57248806,126.9828945,433.4236111,325.921131,324.2604167,757.6840278,1083.605159,0.699225194,0,1,1
101,1203,안국동,30.26388889,523.2152778,136.9940476,329.8422619,210.7291667,155.85,37.57461265,126.9827837,276.7395833,233.4181548,183.2895833,460.0291667,693.4473214,0.66339454,0,1,0
102,1204,종로5가.효제동.김상옥의거터,22.35477583,136.037037,46.15037594,78.04344194,94.85730994,89.15438596,37.57446367,127.0021112,79.19590643,62.09690894,92.00584795,171.2017544,233.2986633,0.733830841,1,0,0
103,1205,종로5가.효제초등학교,52.95761079,191.1984586,174.0189926,106.0578035,362.0473988,101.8208092,37.57288183,127.002028,122.0780347,140.038398,231.934104,354.0121387,494.0505367,0.716550459,0,0,0
104,1209,창덕궁.돈화문국악당,10.04854369,67.25566343,28.67545076,31.80582524,54.19029126,18.13786408,37.57747763,126.9910612,38.65210356,30.240638,36.16407767,74.81618123,105.0568192,0.71214969,0,0,1
105,1212,종로5가,90.54861111,201.8125,354.5297619,269.9285714,453.3916667,200.2833333,37.57055607,127.0020675,146.1805556,312.2291667,326.8375,473.0180556,785.2472222,0.602381062,0,1,1
106,1213,청계6가.동대문시장,53.83333333,166.2916667,69.25,124.0625,57.2625,39.9125,37.569752,127.0028494,110.0625,96.65625,48.5875,158.65,255.30625,0.621410561,0,0,0
107,1214,동대문,58.45238095,138.7571429,126.6387755,128.8959184,149.2828571,75.95857143,37.57178536,127.0085129,98.6047619,127.7673469,112.6207143,211.2254762,338.9928231,0.623097192,0,0,1
108,1215,충신동,94.15286624,120.0382166,59.7133758,79.96087352,71.12611465,52.23566879,37.574106,127.006331,107.0955414,69.83712466,61.68089172,168.7764331,238.6135578,0.707321221,0,0,1
109,1217,충신동,45.91666667,107.2847222,54.35119048,69.51785714,40.65416667,102.6979167,37.57440236,127.0062426,76.60069444,61.93452381,71.67604167,148.2767361,210.2112599,0.705370094,0,0,1
